Training Start, luck bless me, plz!
{
    "output_model": "varmisuse",
    "max_variable_candidates": 5,
    "result_dir": "trained_models/",
    "load_model_file": null,
    "backbone_model": "resgagn",
    "optimizer": "Adam",
    "lr": 0.001,
    "lr_deduce_per_epoch": 10,
    "max_epochs": 1500,
    "cur_epoch": 1,
    "batch_size": 64,
    "dropout_rate": 0.0,
    "h_features": 128,
    "out_features": 128,
    "graph_node_max_num_chars": 19,
    "max_node_per_graph": 50,
    "device": "cuda",
    "slice_edge_type": [
        0,
        1,
        2,
        3,
        4,
        5,
        6,
        7,
        8
    ],
    "num_edge_types": 9,
    "train_data_dir": "data/csharp/train_data",
    "validate_data_dir": "data/csharp/validate_data",
    "dataset_name": "csharp",
    "value_dict_dir": "vocab_dict/python_terminal_dict_1k_value.json",
    "type_dict_dir": "vocab_dict/python_terminal_dict_1k_type.json",
    "dataset_num_workers": 0,
    "seed": 42,
    "slot_singal": "<SLOT>",
    "max_graph": 100000,
    "notes": "8layersresgagn2gatRelu",
    "train_data_nums": 9770,
    "valid_data_nums": 4285,
    "num_model_params": 1781744
}
== Epoch 1
Runing epoch 1 (training), batch 1 (has 64 graphs). Loss so far: 1.0642
Runing epoch 1 (training), batch 2 (has 64 graphs). Loss so far: 1.0373
Runing epoch 1 (training), batch 3 (has 64 graphs). Loss so far: 1.0208
Runing epoch 1 (validation), batch 7 (has 64 graphs). Loss so far: 1.0605
Runing epoch 1 (validation), batch 8 (has 64 graphs). Loss so far: 1.0602
Runing epoch 1 (validation), batch 9 (has 64 graphs). Loss so far: 1.0546
Runing epoch 1 (validation), batch 10 (has 64 graphs). Loss so far: 1.0474
Runing epoch 1 (validation), batch 11 (has 64 graphs). Loss so far: 1.0554
Runing epoch 1 (validation), batch 12 (has 64 graphs). Loss so far: 1.0619
Runing epoch 1 (validation), batch 13 (has 64 graphs). Loss so far: 1.0544
Runing epoch 1 (validation), batch 14 (has 64 graphs). Loss so far: 1.0537
Runing epoch 1 (validation), batch 15 (has 64 graphs). Loss so far: 1.0477
Runing epoch 1 (validation), batch 16 (has 64 graphs). Loss so far: 1.0424
Runing epoch 1 (validation), batch 17 (has 64 graphs). Loss so far: 1.0377
Runing epoch 1 (validation), batch 18 (has 64 graphs). Loss so far: 1.0379
Runing epoch 1 (validation), batch 19 (has 64 graphs). Loss so far: 1.0376
Runing epoch 1 (validation), batch 20 (has 64 graphs). Loss so far: 1.0406
Runing epoch 1 (validation), batch 21 (has 64 graphs). Loss so far: 1.0385
Runing epoch 1 (validation), batch 22 (has 64 graphs). Loss so far: 1.0357
Runing epoch 1 (validation), batch 23 (has 64 graphs). Loss so far: 1.0377
Runing epoch 1 (validation), batch 24 (has 64 graphs). Loss so far: 1.0355
Runing epoch 1 (validation), batch 25 (has 64 graphs). Loss so far: 1.0385
Runing epoch 1 (validation), batch 26 (has 64 graphs). Loss so far: 1.0385
Runing epoch 1 (validation), batch 27 (has 64 graphs). Loss so far: 1.0374
Runing epoch 1 (validation), batch 28 (has 64 graphs). Loss so far: 1.0369
Runing epoch 1 (validation), batch 29 (has 64 graphs). Loss so far: 1.0382
Runing epoch 1 (validation), batch 30 (has 64 graphs). Loss so far: 1.0367
Runing epoch 1 (validation), batch 31 (has 64 graphs). Loss so far: 1.0378
Runing epoch 1 (validation), batch 32 (has 64 graphs). Loss so far: 1.0372
Runing epoch 1 (validation), batch 33 (has 64 graphs). Loss so far: 1.0371
Runing epoch 1 (validation), batch 34 (has 64 graphs). Loss so far: 1.0375
Runing epoch 1 (validation), batch 35 (has 64 graphs). Loss so far: 1.0380
Runing epoch 1 (validation), batch 36 (has 64 graphs). Loss so far: 1.0403
Runing epoch 1 (validation), batch 37 (has 64 graphs). Loss so far: 1.0398
Runing epoch 1 (validation), batch 38 (has 64 graphs). Loss so far: 1.0390
Runing epoch 1 (validation), batch 39 (has 64 graphs). Loss so far: 1.0379
Runing epoch 1 (validation), batch 40 (has 64 graphs). Loss so far: 1.0386
Runing epoch 1 (validation), batch 41 (has 64 graphs). Loss so far: 1.0393
Runing epoch 1 (validation), batch 42 (has 64 graphs). Loss so far: 1.0390
Runing epoch 1 (validation), batch 43 (has 64 graphs). Loss so far: 1.0408
Runing epoch 1 (validation), batch 44 (has 64 graphs). Loss so far: 1.0421
Runing epoch 1 (validation), batch 45 (has 64 graphs). Loss so far: 1.0411
Runing epoch 1 (validation), batch 46 (has 64 graphs). Loss so far: 1.0409
Runing epoch 1 (validation), batch 47 (has 64 graphs). Loss so far: 1.0437
Runing epoch 1 (validation), batch 48 (has 64 graphs). Loss so far: 1.0425
Runing epoch 1 (validation), batch 49 (has 64 graphs). Loss so far: 1.0446
Runing epoch 1 (validation), batch 50 (has 64 graphs). Loss so far: 1.0447
Runing epoch 1 (validation), batch 51 (has 64 graphs). Loss so far: 1.0459
Runing epoch 1 (validation), batch 52 (has 64 graphs). Loss so far: 1.0463
Runing epoch 1 (validation), batch 53 (has 64 graphs). Loss so far: 1.0473
Runing epoch 1 (validation), batch 54 (has 64 graphs). Loss so far: 1.0496
Runing epoch 1 (validation), batch 55 (has 64 graphs). Loss so far: 1.0493
Runing epoch 1 (validation), batch 56 (has 64 graphs). Loss so far: 1.0497
Runing epoch 1 (validation), batch 57 (has 64 graphs). Loss so far: 1.0485
Runing epoch 1 (validation), batch 58 (has 64 graphs). Loss so far: 1.0478
Runing epoch 1 (validation), batch 59 (has 64 graphs). Loss so far: 1.0491
Runing epoch 1 (validation), batch 60 (has 64 graphs). Loss so far: 1.0498
Runing epoch 1 (validation), batch 61 (has 64 graphs). Loss so far: 1.0500
Runing epoch 1 (validation), batch 62 (has 64 graphs). Loss so far: 1.0495
Runing epoch 1 (validation), batch 63 (has 64 graphs). Loss so far: 1.0492
Runing epoch 1 (validation), batch 64 (has 64 graphs). Loss so far: 1.0489
Runing epoch 1 (validation), batch 65 (has 64 graphs). Loss so far: 1.0500
Runing epoch 1 (validation), batch 66 (has 64 graphs). Loss so far: 1.0497
Runing epoch 1 (validation), batch 67 (has 61 graphs). Loss so far: 1.0499

[K valid: loss: 1.04988 || Top1 0.434 Top2 0.837 Top3 0.929 Top4 0.971 Top5 1.000 || graphs/sec: 66.19 | nodes/sec: 3310 | graphs: 4285 | nodes: 214250 | lr: 0.001000
  (Best epoch so far, target metric decreased to -0.43424 from inf. Saving to 'trained_models/model_save/Single-Task_2022-05-23-16-02-41_32794_resgagn_resgagn_best_model')
== Epoch 2
Runing epoch 2 (training), batch 1 (has 64 graphs). Loss so far: 0.9585
Runing epoch 2 (training), batch 2 (has 64 graphs). Loss so far: 0.9579
Runing epoch 2 (training), batch 3 (has 64 graphs). Loss so far: 0.9813
Runing epoch 2 (training), batch 4 (has 64 graphs). Loss so far: 1.0134
Runing epoch 2 (training), batch 5 (has 64 graphs). Loss so far: 1.0295
Runing epoch 2 (training), batch 6 (has 64 graphs). Loss so far: 1.0272
Runing epoch 2 (training), batch 7 (has 64 graphs). Loss so far: 1.0236
Runing epoch 2 (training), batch 8 (has 64 graphs). Loss so far: 1.0138
Runing epoch 2 (training), batch 9 (has 64 graphs). Loss so far: 1.0097
Runing epoch 2 (training), batch 10 (has 64 graphs). Loss so far: 1.0119
Runing epoch 2 (training), batch 11 (has 64 graphs). Loss so far: 1.0096
Runing epoch 2 (training), batch 12 (has 64 graphs). Loss so far: 1.0189
Runing epoch 2 (training), batch 13 (has 64 graphs). Loss so far: 1.0218
Runing epoch 2 (training), batch 14 (has 64 graphs). Loss so far: 1.0235
Runing epoch 2 (training), batch 15 (has 64 graphs). Loss so far: 1.0320
Runing epoch 2 (training), batch 16 (has 64 graphs). Loss so far: 1.0368
Runing epoch 2 (training), batch 17 (has 64 graphs). Loss so far: 1.0412
Runing epoch 2 (training), batch 18 (has 64 graphs). Loss so far: 1.0407
Runing epoch 2 (training), batch 19 (has 64 graphs). Loss so far: 1.0448
Runing epoch 2 (training), batch 20 (has 64 graphs). Loss so far: 1.0409
Runing epoch 2 (training), batch 21 (has 64 graphs). Loss so far: 1.0434
Runing epoch 2 (training), batch 22 (has 64 graphs). Loss so far: 1.0405
Runing epoch 2 (training), batch 23 (has 64 graphs). Loss so far: 1.0422
Runing epoch 2 (training), batch 24 (has 64 graphs). Loss so far: 1.0388
Runing epoch 2 (training), batch 25 (has 64 graphs). Loss so far: 1.0384
Runing epoch 2 (training), batch 26 (has 64 graphs). Loss so far: 1.0401
Runing epoch 2 (training), batch 27 (has 64 graphs). Loss so far: 1.0404
Runing epoch 2 (training), batch 28 (has 64 graphs). Loss so far: 1.0415
Runing epoch 2 (training), batch 29 (has 64 graphs). Loss so far: 1.0420
Runing epoch 2 (training), batch 30 (has 64 graphs). Loss so far: 1.0451
Runing epoch 2 (training), batch 31 (has 64 graphs). Loss so far: 1.0477
Runing epoch 2 (training), batch 32 (has 64 graphs). Loss so far: 1.0474
Runing epoch 2 (training), batch 33 (has 64 graphs). Loss so far: 1.0468
Runing epoch 2 (training), batch 34 (has 64 graphs). Loss so far: 1.0447
Runing epoch 2 (training), batch 35 (has 64 graphs). Loss so far: 1.0431
Runing epoch 2 (training), batch 36 (has 64 graphs). Loss so far: 1.0422
Runing epoch 2 (training), batch 37 (has 64 graphs). Loss so far: 1.0421
Runing epoch 2 (training), batch 38 (has 64 graphs). Loss so far: 1.0446
Runing epoch 2 (training), batch 39 (has 64 graphs). Loss so far: 1.0447
Runing epoch 2 (training), batch 40 (has 64 graphs). Loss so far: 1.0457
Runing epoch 2 (training), batch 41 (has 64 graphs). Loss so far: 1.0436
Runing epoch 2 (training), batch 42 (has 64 graphs). Loss so far: 1.0434
Runing epoch 2 (training), batch 43 (has 64 graphs). Loss so far: 1.0441
Runing epoch 2 (training), batch 44 (has 64 graphs). Loss so far: 1.0473
Runing epoch 2 (training), batch 45 (has 64 graphs). Loss so far: 1.0487
Runing epoch 2 (training), batch 46 (has 64 graphs). Loss so far: 1.0496
Runing epoch 2 (training), batch 47 (has 64 graphs). Loss so far: 1.0493
Runing epoch 2 (training), batch 48 (has 64 graphs). Loss so far: 1.0504
Runing epoch 2 (training), batch 49 (has 64 graphs). Loss so far: 1.0502
Runing epoch 2 (training), batch 50 (has 64 graphs). Loss so far: 1.0515
Runing epoch 2 (training), batch 51 (has 64 graphs). Loss so far: 1.0515
Runing epoch 2 (training), batch 52 (has 64 graphs). Loss so far: 1.0527
Runing epoch 2 (training), batch 53 (has 64 graphs). Loss so far: 1.0540
Runing epoch 2 (training), batch 54 (has 64 graphs). Loss so far: 1.0546
Runing epoch 2 (training), batch 55 (has 64 graphs). Loss so far: 1.0540
Runing epoch 2 (training), batch 56 (has 64 graphs). Loss so far: 1.0549
Runing epoch 2 (training), batch 57 (has 64 graphs). Loss so far: 1.0545
Runing epoch 2 (training), batch 58 (has 64 graphs). Loss so far: 1.0560
Runing epoch 2 (training), batch 59 (has 64 graphs). Loss so far: 1.0546
Runing epoch 2 (training), batch 60 (has 64 graphs). Loss so far: 1.0547
Runing epoch 2 (training), batch 61 (has 64 graphs). Loss so far: 1.0547
Runing epoch 2 (training), batch 62 (has 64 graphs). Loss so far: 1.0551
Runing epoch 2 (training), batch 63 (has 64 graphs). Loss so far: 1.0557
Runing epoch 2 (training), batch 64 (has 64 graphs). Loss so far: 1.0558
Runing epoch 2 (training), batch 65 (has 64 graphs). Loss so far: 1.0569
Runing epoch 2 (training), batch 66 (has 64 graphs). Loss so far: 1.0566
Runing epoch 2 (training), batch 67 (has 64 graphs). Loss so far: 1.0564
Runing epoch 2 (training), batch 68 (has 64 graphs). Loss so far: 1.0555
Runing epoch 2 (training), batch 69 (has 64 graphs). Loss so far: 1.0554
Runing epoch 2 (training), batch 70 (has 64 graphs). Loss so far: 1.0550
Runing epoch 2 (training), batch 71 (has 64 graphs). Loss so far: 1.0550
Runing epoch 2 (training), batch 72 (has 64 graphs). Loss so far: 1.0551
Runing epoch 2 (training), batch 73 (has 64 graphs). Loss so far: 1.0556
Runing epoch 2 (training), batch 74 (has 64 graphs). Loss so far: 1.0554
Runing epoch 2 (training), batch 75 (has 64 graphs). Loss so far: 1.0554
Runing epoch 2 (training), batch 76 (has 64 graphs). Loss so far: 1.0561
Runing epoch 2 (training), batch 77 (has 64 graphs). Loss so far: 1.0557
Runing epoch 2 (training), batch 78 (has 64 graphs). Loss so far: 1.0544
Runing epoch 2 (training), batch 79 (has 64 graphs). Loss so far: 1.0544
Runing epoch 2 (training), batch 80 (has 64 graphs). Loss so far: 1.0554
Runing epoch 2 (training), batch 81 (has 64 graphs). Loss so far: 1.0561
Runing epoch 2 (training), batch 82 (has 64 graphs). Loss so far: 1.0557
Runing epoch 2 (training), batch 83 (has 64 graphs). Loss so far: 1.0559
Runing epoch 2 (training), batch 84 (has 64 graphs). Loss so far: 1.0555
Runing epoch 2 (training), batch 85 (has 64 graphs). Loss so far: 1.0556
Runing epoch 2 (training), batch 86 (has 64 graphs). Loss so far: 1.0565
Runing epoch 2 (training), batch 87 (has 64 graphs). Loss so far: 1.0569
Runing epoch 2 (training), batch 88 (has 64 graphs). Loss so far: 1.0564
Runing epoch 2 (training), batch 89 (has 64 graphs). Loss so far: 1.0553
Runing epoch 2 (training), batch 90 (has 64 graphs). Loss so far: 1.0554
Runing epoch 2 (training), batch 91 (has 64 graphs). Loss so far: 1.0550
Runing epoch 2 (training), batch 92 (has 64 graphs). Loss so far: 1.0542
Runing epoch 2 (training), batch 93 (has 64 graphs). Loss so far: 1.0540
Runing epoch 2 (training), batch 94 (has 64 graphs). Loss so far: 1.0537
Runing epoch 2 (training), batch 95 (has 64 graphs). Loss so far: 1.0535
Runing epoch 2 (training), batch 96 (has 64 graphs). Loss so far: 1.0535
Runing epoch 2 (training), batch 97 (has 64 graphs). Loss so far: 1.0544
Runing epoch 2 (training), batch 98 (has 64 graphs). Loss so far: 1.0545
Runing epoch 2 (training), batch 99 (has 64 graphs). Loss so far: 1.0543
Runing epoch 2 (training), batch 100 (has 64 graphs). Loss so far: 1.0530
Runing epoch 2 (training), batch 101 (has 64 graphs). Loss so far: 1.0535
Runing epoch 2 (training), batch 102 (has 64 graphs). Loss so far: 1.0528
Runing epoch 2 (training), batch 103 (has 64 graphs). Loss so far: 1.0525
Runing epoch 2 (training), batch 104 (has 64 graphs). Loss so far: 1.0527
Runing epoch 2 (training), batch 105 (has 64 graphs). Loss so far: 1.0529
Runing epoch 2 (training), batch 106 (has 64 graphs). Loss so far: 1.0528
Runing epoch 2 (training), batch 107 (has 64 graphs). Loss so far: 1.0534
Runing epoch 2 (training), batch 108 (has 64 graphs). Loss so far: 1.0538
Runing epoch 2 (training), batch 109 (has 64 graphs). Loss so far: 1.0541
Runing epoch 2 (training), batch 110 (has 64 graphs). Loss so far: 1.0534
